sb_code,sb_name,sb_credits,sb_type,sb_campus_code,sb_campus_name,sb_faculty_code,sb_faculty_name,sb_is_active
2023220,Acústica,3,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017162,Administración y gestión,2,B,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017163,Análisis de ciudades,2,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2029260,Arquitectura bioclimática,3,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017164,Arquitectura del paisaje,3,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017165,Arquitectura gótica,2,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,0
2027470,Arquitectura moderna en Bogotá,2,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2023221,Arquitectura y metal,3,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,0
2017167,Arquitectura y textos,2,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,0
2029054,Arte y paisaje,3,O,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,0
2017168,Asoleación y arquitectura,3,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,0
2017169,Aspectos arquitectónicos en el diseño sismoresistente,3,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,0
2017170,Ciudad y movimiento moderno,2,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017171,Clima y arquitectura,3,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2022660,Comprensión de textos en idioma extranjero,12,E,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,0
2017172,Consolidación estructural,3,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,0
2017173,Construcción de baja complejidad,3,C,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017174,Construcción en madera y bambú,3,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017175,Construcciones complejas,3,C,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017176,Construcciones de mediana complejidad,3,C,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017177,Costos y programación,3,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017178,Crítica de la arquitectura,2,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,0
2023222,Documentación gráfica del patrimonio,3,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,0
2017179,Énfasis en investigación y proyecto arquitectónico I,5,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017180,Énfasis en investigación y proyecto arquitectónico II,5,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017181,Énfasis en investigación y proyecto de vivienda I,5,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017182,Énfasis en investigación y proyecto de vivienda II,5,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017183,Énfasis en investigación y proyecto patrimonial I,5,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017184,Énfasis en investigación y proyecto patrimonial II,5,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017185,Énfasis en investigación y proyecto tecnológico I,5,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017186,Énfasis en investigación y proyecto tecnológico II,5,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,0
2017187,Énfasis en investigación y proyecto urbano I,5,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,0
2017188,Énfasis en investigación y proyecto urbano II,5,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,0
2017189,Especificaciones y cantidades,3,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,0
2023223,Estructuras de alta complejidad,3,C,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
