sb_code,sb_name,sb_credits,sb_type,sb_program_code,sb_program_name,sb_faculty_code,sb_faculty_name,sb_is_active
2016080,Aplicaciones gráficas tridimensionales,3,C,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016061,Bocetación e Ilustración,3,C,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016063,Esquemática básica,2,C,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016064,Estética y teoría de la imagenEstética y teoría de la imagen,3,B,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016065,Expresión visual,2,C,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016066,Figura humana y representación,3,C,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016068,Fotografía I,3,C,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016918,Fotografía II,3,C,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016062,Fotografía III,3,C,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016069,Fundamentos tecnológicos: Color y producción,3,C,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016070,Fundamentos tecnológicos: Formatos y medidas,2,C,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016071,Fundamentos Tecnológicos: Tipometría,3,C,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016072,Gestión cultural y empresarial en las artes,3,B,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016073,Herencias - Una mirada a la historia de las artes,3,O,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016074,Historia del diseño gráfico: Contextos del diseño en Colombia,3,C,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016075,Historia del diseño gráfico: De la imagen a la palabra,3,C,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016076,Historia del diseño gráfico: De las artes al diseño,3,C,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016077,Historia del diseño gráfico: De los ismos a los medios,3,C,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016078,"Historia del diseño gráfico: Sociedad, cultura y diseño en Latinoamérica",3,C,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016079,Imagen dinámica,3,C,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
1000044-B,Inglés I- Semestral,3,E,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
1000045-B,Inglés II - Semestral,3,E,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
1000049-B,Inglés II - Virtual,3,E,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,0
1000046-B,Inglés III - Semestral,3,E,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
1000050-B,Inglés III- Virtual,3,E,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,0
1000052-B,Inglés Intensivo I y II,6,E,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
1000053-B,Inglés Intensivo III y IV,6,E,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
1000047-B,Inglés IV- Semestral,3,E,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
1000051-B,Inglés IV- Virtual,3,E,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,0
1000002-B,Lecto-Escritura,4,E,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016081,Palabra e imagen,3,B,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016082,Problemas contemporáneos de las artes,3,O,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016083,Producción en medios digitales,3,C,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016084,Producción en medios impresos,3,C,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016085,Responsabilidad socio-ambiental de las artes,3,O,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016086,Seminario de investigación y proyecto de diseño,3,B,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016093,Taller de énfasis en animación y narrativas audiovisuales I,3,T,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016094,Taller de énfasis en animación y narrativas audiovisuales II,3,T,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,0
2016087,Taller de énfasis en ilustración I,3,T,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016088,Taller de énfasis en ilustración II,3,T,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,0
2016089,Taller de énfasis en imagen fotográfica I,3,T,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016090,Taller de énfasis en imagen fotográfica II,3,T,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,0
2016091,Taller de énfasis en multimedia e imagen digital I,3,T,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
2016092,Taller de énfasis en multimedia e imagen digital II,3,T,2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES,1
