sb_code,sb_name,sb_credits,sb_type,sb_program_code,sb_program_name,sb_faculty_code,sb_faculty_name,sb_is_active
2017299,Análisis de métodos proyectuales,2,C,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2017300,Comunicación I,3,C,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2017301,Comunicación II,3,C,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2017302,Comunicación III,3,C,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2017303,Comunicación IV,3,C,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2017304,Comunicación V,3,C,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2017305,Comunicación VI,3,C,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2017306,Cultura Material y del Arte en América Latina,2,T,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2017307,Dirección Organizacional,2,T,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2017310,"Diseño, cultura y sociedad",2,T,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2024276,Diseño de exposiciones,2,T,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,0
2017308,Diseño para la Sostenibilidad,3,C,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2017309,Diseño y Mercados,3,C,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2017311,Economía e Industria,2,T,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2017314,Ergonomía Cognitiva,3,C,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2017312,Ergonomía Física,3,C,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2017313,Ergonomía Organizacional,3,C,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2017315,Fundamentos en tecnología,3,B,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2017316,Gerencia de proyectos de diseño,3,B,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2016072,Gestión cultural y empresarial en las artes,3,O,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2016073,Herencias - Una mirada a la historia de las artes,3,O,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2017317,Historia y Teoría I,3,C,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2017318,Historia y Teoría II,3,C,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2017319,Historia y Teoría III,3,C,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2017320,Historia y Teoría IV,3,C,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
2017321,Industrialización de Producto,3,C,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
1000044-B,Inglés I- Semestral,3,E,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
1000045-B,Inglés II - Semestral,3,E,2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES,1
