sb_code,sb_name,sb_credits,sb_type,sb_program_code,sb_program_name,sb_faculty_code,sb_faculty_name,sb_is_active
2018189,Acompañamiento I,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018190,Acompañamiento II,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018191,Acompañamiento III,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2026963,Acompañamiento III,3,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2026964,Acompañamiento IV,3,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018192,Acompañamiento IV,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2018193,Acompañamiento V,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2026965,Acompañamiento V,3,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018194,Acompañamiento VI,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2026966,Acompañamiento VI,3,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021214,Arpa I,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021215,Arpa II,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021216,Arpa III,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021217,Arpa IV,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021218,Arpa V,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021219,Arpa VI,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021220,Arpa VII,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021221,Arpa VIII,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2018154,Arte escénico I,1,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018155,Arte escénico II,1,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018049,Canto complementario I,3,O,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2018050,Canto complementario II,3,O,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2018051,Canto complementario III,3,O,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2018052,Canto complementario IV,3,O,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021222,Canto I,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
