sb_code,sb_name,sb_credits,sb_type,sb_program_code,sb_program_name,sb_faculty_code,sb_faculty_name,sb_is_active
2018049,Canto complementario I,3,O,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2018050,Canto complementario II,3,O,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2018051,Canto complementario III,3,O,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2018052,Canto complementario IV,3,O,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2018059,Complementaria historia de la música I,3,C,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2026832,Composición experimental I,2,C,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2026833,Composición experimental II,2,C,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2018063,Composición I,4,C,2511,MÚSICA,2049,FACULTAD DE ARTES,1
2018064,Composición II,4,C,2511,MÚSICA,2049,FACULTAD DE ARTES,1
2018065,Composición III,4,C,2511,MÚSICA,2049,FACULTAD DE ARTES,1
2018066,Composición IV,4,C,2511,MÚSICA,2049,FACULTAD DE ARTES,1
2004223,Conjunto acompanamiento i,4,C,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2000275,Conjunto banda i,4,C,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2008680,Conjunto cobres ii,4,C,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2010030,Conjunto coro,2,C,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2010047,Conjunto i - coro,2,C,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2008715,Conjunto musica andina ii,4,C,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2008717,Conjunto musica andina iv,4,C,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2008718,Conjunto musica andina v,4,C,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2000255,Conjunto musica de camara ii,4,C,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2000257,Conjunto musica de camara iv,2,C,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2008654,Conjunto orquesta viii,4,C,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2000815,Conjunto percusion i,4,C,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2010109,Conjunto trio s.manolov,2,C,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2002764,Conjunto vocal de camara i,4,C,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2018068,Contrapunto I,2,B,2511,MÚSICA,2049,FACULTAD DE ARTES,1
2018069,Contrapunto II,2,B,2511,MÚSICA,2049,FACULTAD DE ARTES,1
2018070,Contrapunto III,2,B,2511,MÚSICA,2049,FACULTAD DE ARTES,1
2018156,Coro universitario I,2,C,2511,MÚSICA,2049,FACULTAD DE ARTES,1
2018157,Coro universitario II,2,C,2511,MÚSICA,2049,FACULTAD DE ARTES,1
2018158,Coro universitario III,2,C,2511,MÚSICA,2049,FACULTAD DE ARTES,1
2018159,Coro universitario IV,2,C,2511,MÚSICA,2049,FACULTAD DE ARTES,1
2018072,Dirección I,4,C,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2018073,Dirección II,4,C,2511,MÚSICA,2049,FACULTAD DE ARTES,1
2018074,Dirección III,4,C,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2018075,Dirección IV,4,C,2511,MÚSICA,2049,FACULTAD DE ARTES,1
2018078,Ensamble de Jazz I,3,C,2511,MÚSICA,2049,FACULTAD DE ARTES,1
2018079,Ensamble de Jazz II,3,C,2511,MÚSICA,2049,FACULTAD DE ARTES,1
2018080,Ensamble de Jazz III,3,C,2511,MÚSICA,2049,FACULTAD DE ARTES,1
2018081,Ensamble de Jazz IV,3,C,2511,MÚSICA,2049,FACULTAD DE ARTES,1
2026836,Ensamble de jazz V,3,C,2511,MÚSICA,2049,FACULTAD DE ARTES,1
2021444,Ensamble música antigua I,3,C,2511,MÚSICA,2049,FACULTAD DE ARTES,1
2021445,Ensamble música antigua II,3,C,2511,MÚSICA,2049,FACULTAD DE ARTES,1
2021446,Ensamble música antigua III,3,C,2511,MÚSICA,2049,FACULTAD DE ARTES,1
2021447,Ensamble música antigua IV,3,C,2511,MÚSICA,2049,FACULTAD DE ARTES,0
2018088,Formación musical en el contexto nacional,3,C,2511,MÚSICA,2049,FACULTAD DE ARTES,1
