sb_code,sb_name,sb_credits,sb_type,sb_program_code,sb_program_name,sb_faculty_code,sb_faculty_name,sb_is_active
2026555,Algebra abstracta y computacional,4,C,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,1
2015555,Álgebra lineal básica,4,B,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,1
2016696,Algoritmos,3,C,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,1
2015150,Análisis numérico,4,C,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,1
2019103,Análisis numérico II,4,T,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,1
2016697,Arquitectura de computadores,3,T,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,1
2016353,Bases de datos,3,T,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,1
1000010-B,Biología molecular y celular,3,O,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,1
2016342,Cálculo de ecuaciones diferenciales ordinarias,4,B,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,1
2016377,Cálculo diferencial en una variable,4,B,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,1
2015556,Cálculo integral en una variable,4,B,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,1
2015162,Calculo vectorial,4,B,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,1
2025960,Computación visual,3,T,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,1
2026519,Ecuaciones en diferencias finitas y sistemas dinámicos,4,T,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,0
2016698,Elementos de computadores,3,C,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,1
2016699,Estructuras de datos,3,B,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,1
2022689,Fundamentos de fisica,3,O,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,0
2016651,Fundamentos de Física Teórica,3,O,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,1
2015168,Fundamentos de matemáticas,4,B,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,1
2015152,Grupos y anillos,4,O,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,1
2021834,Informática aplicada,3,T,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,0
2016701,Ingeniería de software I,3,T,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,1
1000044-B,Inglés I- Semestral,3,E,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,1
1000045-B,Inglés II - Semestral,3,E,2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS,1
