sb_code,sb_name,sb_credits,sb_type,sb_program_code,sb_program_name,sb_faculty_code,sb_faculty_name,sb_is_active
2015555,Álgebra lineal básica,4,B,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
2016378,Álgebra matricial,4,B,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
2016333,Análisis de correspondencias,4,T,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,0
2016313,Análisis de datos categóricos,4,T,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,0
2016334,Análisis de datos longitudinales,4,T,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,0
2016360,Análisis de regresión,4,C,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
2015161,Análisis estocástico,4,O,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,0
2016361,Análisis multivariado,4,T,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
2016353,Bases de datos,3,O,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
1000012-B,Bioestadística fundamental,3,O,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
1000009-B,Biología general,3,O,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
1000010-B,Biología molecular y celular,3,O,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
2016314,Cálculo actuarial,3,T,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,0
2016342,Cálculo de ecuaciones diferenciales ordinarias,4,O,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
2016377,Cálculo diferencial en una variable,4,B,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
2015556,Cálculo integral en una variable,4,B,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
2015162,Calculo vectorial,4,B,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
2022660,Comprensión de textos en idioma extranjero,12,E,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,0
2016335,Computación estadística,4,T,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
2015709,Comunicación oral y escrita,3,O,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
2016344,Consultoría estadística,2,C,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
2016317,Control estadístico de calidad,3,T,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
2016318,Demografía,3,T,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,0
2007388,Demografia,3,T,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,0
2016362,Diseño de experimentos,4,T,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
2016028,"Diseño, gestión y evaluación de proyectos",4,T,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
2016363,Diseño y desarrollo de encuestas,4,T,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,0
2016320,Epidemiología,3,T,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,0
2016343,Español funcional,3,O,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
2016364,Estadística bayesiana,4,T,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
2016365,Estadística descriptiva multivariada,4,T,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
2016366,Estadística descriptiva y exploratoria,4,C,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
2016367,Estadística espacial,4,T,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
1000014-B,Estadística social fundamental,3,O,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
2016355,Estadística y sociedad,3,T,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,0
2016120,Estrategia de mercados,3,T,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,0
1000095,Examen de clasificación en inglés,0,E,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,0
2016741,Finanzas,3,T,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,1
2016321,Finanzas y modelos de inversión,3,T,2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS,0
