sb_code,sb_name,sb_credits,sb_type,sb_program_code,sb_program_name,sb_faculty_code,sb_faculty_name,sb_is_active
2015648,Administración de farmacias ambulatorias,3,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,0
2015672,Administración farmacéutica,2,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000003-B,Álgebra Lineal,4,O,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015649,Análisis instrumental farmacéutico,4,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015678,Aplicaciones de la biotecnología en terapéutica,3,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2029149,Aplicaciones farmacéuticas en veterinaria,3,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,0
2015673,Aseguramiento de calidad,2,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2027884,Bioanalítica farmacéutica,3,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000012-B,Bioestadística fundamental,3,B,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015647,Biofarmacia y farmacocinética,2,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000010-B,Biología molecular y celular,3,B,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015570,Bioquimica,3,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015650,Buenas prácticas de manufactura,3,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000004-B,Cálculo diferencial,4,B,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000005-B,Cálculo Integral,4,O,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015651,Calidad y legislación de fitofarmacéuticos,3,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,0
2015652,Control de calidad farmacéutico,4,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2024799,Diseño y Desarrollo de Productos Farmacéuticos,4,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,0
2027882,Diseño y evaluación de productos cosméticos,3,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015653,Estabilidad de medicamentos,3,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000014-B,Estadística social fundamental,3,O,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015654,Farmacia hospitalaria I,5,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015655,Farmacia hospitalaria II,5,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015656,Farmacia industrial,2,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015657,Farmacia química i,4,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015658,Farmacia química II,2,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015681,Farmacocinética clínica,3,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,0
2015659,Farmacognosia y fitoquímica,5,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015682,Farmacología especial,3,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015683,Farmacología general,3,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015660,Farmacotecnia I,5,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015661,Farmacotecnia II,5,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015684,Farmacoterapia,3,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000037-B,Fisicoquímica I,3,B,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000038-B,Fisicoquímica II,3,O,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015685,Fisioanatomía,3,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015686,Fisiopatología,3,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000022-B,Fluidos y electromagnetismo para biociencias,4,O,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015662,Fundamentos de bromatología,2,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015674,Gestión en servicios farmacéuticos,2,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2027883,Historia universal de la farmacia,3,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000044-B,Inglés I- Semestral,3,E,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000045-B,Inglés II - Semestral,3,E,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000049-B,Inglés II - Virtual,3,E,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,0
1000046-B,Inglés III - Semestral,3,E,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000050-B,Inglés III- Virtual,3,E,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,0
1000052-B,Inglés Intensivo I y II,6,E,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000053-B,Inglés Intensivo III y IV,6,E,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000047-B,Inglés IV- Semestral,3,E,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000051-B,Inglés IV- Virtual,3,E,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,0
2027885,Introducción a la atención farmacéutica,3,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000040-B,Introducción a la ciencia de materiales,3,O,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015675,Introducción a la farmacia,2,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015663,Introducción a la farmacia clínica,3,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,0
2015664,Introducción a la farmacoepidemiología,3,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015687,Introducción a la fitoterapia,3,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,0
1000035-B,Laboratorio de química orgánica I,3,B,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000027-B,Laboratorio principios de análisis químico,3,B,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000025-B,Laboratorio tecnicas básicas en química,3,B,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000002-B,Lecto-Escritura,4,E,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015676,Legislación farmacéutica,2,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000001-B,Matemáticas Básicas,4,E,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000023-B,Mecánica y ondas para biociencias,4,B,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015688,Mecanismos de patogenicidad,3,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015791,Microbiología farmacéutica,3,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015689,Microbiología general,3,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015691,Modelos de farmacología experimental,3,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,0
2015665,Nutrición clínica en patologías especiales,3,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,0
2015666,Operaciones unitarias farmacéuticas,2,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015690,Parasitología,3,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015667,Péptidos y proteínas de uso farmaceutico,3,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,0
1000026-B,Principios de análisis químico,3,B,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000024-B,Principios de química,3,B,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2024798,Procesos industriales de transformación farmacéutica,3,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2029150,Propiedad industrial farmacéutica,3,T,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015597,Química de Heterociclos,3,O,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
2015668,Química inorgánica farmacéutica,2,C,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
1000034-B,Química orgánica I,3,B,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,1
