sb_code,sb_name,sb_credits,sb_type,sb_program_code,sb_program_name,sb_faculty_code,sb_faculty_name,sb_is_active
1000003-B,Álgebra Lineal,4,O,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2015555,Álgebra lineal básica,4,O,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2015979,Análisis del discurso I,3,O,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2016131,Apreciación musical,3,O,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,0
2017774,Biología evolutiva,4,O,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2017775,Biologia molecular de la célula,4,O,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
1000010-B,Biología molecular y celular,3,O,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2016342,Cálculo de ecuaciones diferenciales ordinarias,4,B,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2016377,Cálculo diferencial en una variable,4,B,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2015556,Cálculo integral en una variable,4,B,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2015162,Calculo vectorial,4,B,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2014485,Catedra de creacion - facultad de artes,3,O,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,0
2017256,Ciencia e ingeniería de materiales,3,O,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2015229,Colombia Contemporánea,3,O,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2016869,Dibujo I,3,O,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2016656,Elasticidad y fluidos,3,T,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2016657,Electricidad y Magnetismo,3,C,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2016658,Electrodinámica I,3,C,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2016659,Electrodinámica II,3,C,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2016683,Electrónica analógica,3,T,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2017260,Electrónica básica,3,T,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2016684,Electrónica Digital,3,T,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2016366,Estadística descriptiva y exploratoria,4,O,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2015800,Estructura de la sociedad moderna I,3,O,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2016687,Experimentos en Física Moderna,3,C,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2015499,Fundamentación Geofísica,3,O,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2016007,Fundamentos de administración,4,O,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2016008,Fundamentos de contabilidad financiera,4,O,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
2015270,Fundamentos de economía,3,O,2516,FÍSICA,2050,FACULTAD DE CIENCIAS,1
