sb_code,sb_name,sb_credits,sb_type,sb_program_code,sb_program_name,sb_faculty_code,sb_faculty_name,sb_is_active
1000003-B,Álgebra Lineal,4,O,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000012-B,Bioestadística fundamental,3,O,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000009-B,Biología general,3,B,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000004-B,Cálculo diferencial,4,O,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000006-B,Cálculo en varias variables,4,O,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000005-B,Cálculo Integral,4,O,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015511,Campo i: practicas de geologia fisica,3,C,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015512,Campo ii: practicas de geologia estructural,3,C,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015513,Campo III: Prácticas rocas ígneas y metamórficas,3,C,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015514,Campo IV: practicas sedimentologia - paleontologia - estratigrafia,3,C,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015558,Campo V: practicas geologia de Colombia y yacimientos,3,C,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015559,Campo VI: Cartografía Geológica,6,C,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015515,Cefalópodos fósiles,3,T,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,0
2015516,Climatología,3,T,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015517,Cristaloquímica y cristalografía,3,T,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2024719,Economía de proyectos mineros y petroleros,3,T,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000007-B,Ecuaciones Diferenciales,4,O,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015498,Estratigrafía,3,C,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2024720,Fotogeología,3,T,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015499,Fundamentación Geofísica,3,C,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000011-B,Fundamentos de ecología,3,T,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000017-B,Fundamentos de electricidad y magnetismo,4,O,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000019-B,Fundamentos de mecánica,4,O,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000021-B,Fundamentos de Mecánica de Fluidos,3,O,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000020-B,"Fundamentos de oscilaciones, ondas y óptica",4,O,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015545,Fundamentos químicos de geología,3,B,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015496,Geodinámica externa,4,B,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015497,Geodinamica interna,4,B,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015560,Geoeléctrica,3,T,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015561,Geologia ambiental,3,T,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015500,Geologia de colombia,3,C,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015525,Geologia del petroleo,3,T,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015605,Geología Estructural,3,C,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015501,Geología histórica,3,C,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015534,Geometría Descriptiva,4,B,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015553,Geomorfologia y fotos aereas,3,C,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015564,Hidrogeología,3,T,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000044-B,Inglés I- Semestral,3,E,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000048-B,Inglés I- Virtual,3,E,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,0
1000045-B,Inglés II - Semestral,3,E,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000049-B,Inglés II - Virtual,3,E,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,0
1000046-B,Inglés III - Semestral,3,E,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000050-B,Inglés III- Virtual,3,E,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,0
1000052-B,Inglés Intensivo I y II,6,E,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000053-B,Inglés Intensivo III y IV,6,E,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000047-B,Inglés IV- Semestral,3,E,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000051-B,Inglés IV- Virtual,3,E,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,0
2015527,Introducción a la sismología,3,T,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015528,Investigación dirigida,3,T,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000027-B,Laboratorio principios de análisis químico,3,O,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000025-B,Laboratorio tecnicas básicas en química,3,O,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000002-B,Lecto-Escritura,4,E,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000001-B,Matemáticas Básicas,4,E,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015502,Métodos Geofísicos,3,C,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015504,Mineralogia,3,C,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015530,Mineralogia de menas,3,T,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015503,Mineralogía óptica,3,C,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015552,Paleontología,3,C,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015505,Petrografia ignea,3,C,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015506,Petrografia metamorfica,3,C,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2028993,Práctica empresarial en Geología,6,T,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000026-B,Principios de análisis químico,3,O,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000024-B,Principios de química,3,O,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000028-B,Principios de química inorgánica,3,O,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000013-B,Probabilidad y estadística fundamental,3,O,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015507,Sedimentologia,3,C,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015565,Sistemas de información geográfica,3,T,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
1000074-B,Suficiencia en lengua extranjera,12,E,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,0
2015508,Tectónica,3,C,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015280,Trabajo de Grado,10,P,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015282,Trabajo de Grado - Asignaturas de Posgrado,10,P,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015603,Volcanología,3,T,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
2015509,Yacimientos minerales,3,C,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,1
