sb_code,sb_name,sb_credits,sb_type,sb_program_code,sb_program_name,sb_faculty_code,sb_faculty_name,sb_is_active
2015555,Álgebra lineal básica,4,B,2518,MATEMÁTICAS,2050,FACULTAD DE CIENCIAS,1
2015149,Algebra multilineal y formas canónicas,4,C,2518,MATEMÁTICAS,2050,FACULTAD DE CIENCIAS,1
2019072,Análisis numérico I,4,C,2518,MATEMÁTICAS,2050,FACULTAD DE CIENCIAS,1
2015151,Análisis vectorial,4,C,2518,MATEMÁTICAS,2050,FACULTAD DE CIENCIAS,1
2016342,Cálculo de ecuaciones diferenciales ordinarias,4,B,2518,MATEMÁTICAS,2050,FACULTAD DE CIENCIAS,1
2016377,Cálculo diferencial en una variable,4,B,2518,MATEMÁTICAS,2050,FACULTAD DE CIENCIAS,1
2015556,Cálculo integral en una variable,4,B,2518,MATEMÁTICAS,2050,FACULTAD DE CIENCIAS,1
2015162,Calculo vectorial,4,B,2518,MATEMÁTICAS,2050,FACULTAD DE CIENCIAS,1
2019075,Ecuaciones diferenciales parciales I,4,T,2518,MATEMÁTICAS,2050,FACULTAD DE CIENCIAS,1
2025384,Epistemología e historia de las matemáticas,4,T,2518,MATEMÁTICAS,2050,FACULTAD DE CIENCIAS,1
1000017-B,Fundamentos de electricidad y magnetismo,4,O,2518,MATEMÁTICAS,2050,FACULTAD DE CIENCIAS,1
2015168,Fundamentos de matemáticas,4,B,2518,MATEMÁTICAS,2050,FACULTAD DE CIENCIAS,1
2019078,Geometría diferencial I,4,T,2518,MATEMÁTICAS,2050,FACULTAD DE CIENCIAS,1
2015172,Geometría elemental,4,O,2518,MATEMÁTICAS,2050,FACULTAD DE CIENCIAS,1
1000008-B,Geometria vectorial y analítica,4,O,2518,MATEMÁTICAS,2050,FACULTAD DE CIENCIAS,1
2015152,Grupos y anillos,4,C,2518,MATEMÁTICAS,2050,FACULTAD DE CIENCIAS,1
1000044-B,Inglés I- Semestral,3,E,2518,MATEMÁTICAS,2050,FACULTAD DE CIENCIAS,1
