sb_code,sb_name,sb_credits,sb_type,sb_program_code,sb_program_name,sb_faculty_code,sb_faculty_name,sb_is_active
1000003-B,Álgebra Lineal,4,B,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
2015566,Análisis Químico Instrumental,3,C,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
2017771,Análisis y modelación de sistemas biológicos,3,O,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
2016058,Atomos y Moléculas,3,C,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
1000012-B,Bioestadística fundamental,3,B,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
2015568,Bioinorgánica,3,T,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,0
2017773,Biología de microorganismos,4,O,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
1000009-B,Biología general,3,B,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
2017775,Biologia molecular de la célula,4,O,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
2015570,Bioquimica,3,C,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
2015569,Bioquimica analitica,3,T,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
2016342,Cálculo de ecuaciones diferenciales ordinarias,4,O,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
1000004-B,Cálculo diferencial,4,B,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
1000005-B,Cálculo Integral,4,B,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
2015162,Calculo vectorial,4,O,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
2015571,Calidad y Quimiometría,3,T,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
2015709,Comunicación oral y escrita,3,O,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
2022897,Energía y combustible,3,T,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
2015572,Espectroscopía aplicada,2,C,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
1000037-B,Fisicoquímica I,3,C,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
1000038-B,Fisicoquímica II,3,C,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
2015575,Fundamentos de biología molecular,3,T,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,0
1000017-B,Fundamentos de electricidad y magnetismo,4,B,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
2015576,Fundamentos de espectroscopía,2,C,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
2016650,Fundamentos de Física Experimental,3,O,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
2017778,Fundamentos de investigación,2,O,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
1000019-B,Fundamentos de mecánica,4,B,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
1000021-B,Fundamentos de Mecánica de Fluidos,3,O,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
2015496,Geodinámica externa,4,O,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
2015497,Geodinamica interna,4,O,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
2015172,Geometría elemental,4,O,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
2015703,Ingeniería económica,3,O,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
1000044-B,Inglés I- Semestral,3,E,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
1000045-B,Inglés II - Semestral,3,E,2519,QUÍMICA,2050,FACULTAD DE CIENCIAS,1
