sb_code,sb_name,sb_credits,sb_type,sb_program_code,sb_program_name,sb_faculty_code,sb_faculty_name,sb_is_active
1000003-B,Álgebra Lineal,4,B,2541,INGENIERÍA AGRÍCOLA,2055,FACULTAD DE INGENIERÍA,1
2015941,Análisis estructural básico,3,C,2541,INGENIERÍA AGRÍCOLA,2055,FACULTAD DE INGENIERÍA,1
2015942,Aplicaciones de elementos finitos,3,O,2541,INGENIERÍA AGRÍCOLA,2055,FACULTAD DE INGENIERÍA,1
1000009-B,Biología general,3,B,2541,INGENIERÍA AGRÍCOLA,2055,FACULTAD DE INGENIERÍA,1
1000004-B,Cálculo diferencial,4,B,2541,INGENIERÍA AGRÍCOLA,2055,FACULTAD DE INGENIERÍA,1
1000006-B,Cálculo en varias variables,4,B,2541,INGENIERÍA AGRÍCOLA,2055,FACULTAD DE INGENIERÍA,1
1000005-B,Cálculo Integral,4,B,2541,INGENIERÍA AGRÍCOLA,2055,FACULTAD DE INGENIERÍA,1
2016587,"Competitividad, productividad y benchmarking",3,O,2541,INGENIERÍA AGRÍCOLA,2055,FACULTAD DE INGENIERÍA,0
2023219,Construcciones rurales: Materiales y administración de obra,3,T,2541,INGENIERÍA AGRÍCOLA,2055,FACULTAD DE INGENIERÍA,1
2016626,Control en biosistemas,3,C,2541,INGENIERÍA AGRÍCOLA,2055,FACULTAD DE INGENIERÍA,1
2015711,Dibujo básico,3,B,2541,INGENIERÍA AGRÍCOLA,2055,FACULTAD DE INGENIERÍA,1
2016627,Diseño de estructuras de concreto,3,C,2541,INGENIERÍA AGRÍCOLA,2055,FACULTAD DE INGENIERÍA,1
2016628,Diseño de sistemas de riego,3,C,2541,INGENIERÍA AGRÍCOLA,2055,FACULTAD DE INGENIERÍA,1
2015695,"Diseño, gestión y evaluación de proyectos",3,O,2541,INGENIERÍA AGRÍCOLA,2055,FACULTAD DE INGENIERÍA,1
2016629,Drenaje de tierras agricolas,3,C,2541,INGENIERÍA AGRÍCOLA,2055,FACULTAD DE INGENIERÍA,1
2016592,Economía general,3,O,2541,INGENIERÍA AGRÍCOLA,2055,FACULTAD DE INGENIERÍA,1
1000007-B,Ecuaciones Diferenciales,4,B,2541,INGENIERÍA AGRÍCOLA,2055,FACULTAD DE INGENIERÍA,1
2016630,Electrotecnia,3,C,2541,INGENIERÍA AGRÍCOLA,2055,FACULTAD DE INGENIERÍA,1
2016631,Elementos de máquinas agrícolas,3,C,2541,INGENIERÍA AGRÍCOLA,2055,FACULTAD DE INGENIERÍA,1
