sb_code,sb_name,sb_credits,sb_type,sb_program_code,sb_program_name,sb_faculty_code,sb_faculty_name,sb_is_active
2015938,Acueductos,3,C,2542,INGENIERÍA CIVIL,2055,FACULTAD DE INGENIERÍA,1
2015939,Alcantarillados,3,C,2542,INGENIERÍA CIVIL,2055,FACULTAD DE INGENIERÍA,1
1000003-B,Álgebra Lineal,4,B,2542,INGENIERÍA CIVIL,2055,FACULTAD DE INGENIERÍA,1
2026183,Análisis de incertidumbre en ingeniería civil,3,T,2542,INGENIERÍA CIVIL,2055,FACULTAD DE INGENIERÍA,1
2015940,Análisis estructural aplicado,3,C,2542,INGENIERÍA CIVIL,2055,FACULTAD DE INGENIERÍA,1
2015941,Análisis estructural básico,3,C,2542,INGENIERÍA CIVIL,2055,FACULTAD DE INGENIERÍA,1
1000004-B,Cálculo diferencial,4,B,2542,INGENIERÍA CIVIL,2055,FACULTAD DE INGENIERÍA,1
1000006-B,Cálculo en varias variables,4,B,2542,INGENIERÍA CIVIL,2055,FACULTAD DE INGENIERÍA,1
1000005-B,Cálculo Integral,4,B,2542,INGENIERÍA CIVIL,2055,FACULTAD DE INGENIERÍA,1
2015229,Colombia Contemporánea,3,T,2542,INGENIERÍA CIVIL,2055,FACULTAD DE INGENIERÍA,1
2015943,Construcción de edificaciones,3,T,2542,INGENIERÍA CIVIL,2055,FACULTAD DE INGENIERÍA,1
2015944,Construcción de Infraestructura Vial,3,T,2542,INGENIERÍA CIVIL,2055,FACULTAD DE INGENIERÍA,1
2015945,Construcción de Obras Fluviales y Litorales,3,T,2542,INGENIERÍA CIVIL,2055,FACULTAD DE INGENIERÍA,1
2015711,Dibujo básico,3,B,2542,INGENIERÍA CIVIL,2055,FACULTAD DE INGENIERÍA,1
2015948,Dinámica,3,C,2542,INGENIERÍA CIVIL,2055,FACULTAD DE INGENIERÍA,1
2015950,Diseño estructural,3,C,2542,INGENIERÍA CIVIL,2055,FACULTAD DE INGENIERÍA,1
2015949,Diseño geométrico de Vías,3,C,2542,INGENIERÍA CIVIL,2055,FACULTAD DE INGENIERÍA,1
1000007-B,Ecuaciones Diferenciales,4,B,2542,INGENIERÍA CIVIL,2055,FACULTAD DE INGENIERÍA,1
2026134,Estática,3,C,2542,INGENIERÍA CIVIL,2055,FACULTAD DE INGENIERÍA,1
