sb_code,sb_name,sb_credits,sb_type,sb_program_code,sb_program_name,sb_faculty_code,sb_faculty_name,sb_is_active
1000003-B,Álgebra Lineal,4,O,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2015555,Álgebra lineal básica,4,O,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2016696,Algoritmos,3,B,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2016697,Arquitectura de computadores,3,C,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2025983,Arquitectura de infraestructura y gobierno de tics,3,C,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2016716,Arquitectura de Software,3,C,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2016353,Bases de datos,3,C,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
1000004-B,Cálculo diferencial,4,O,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
1000006-B,Cálculo en varias variables,4,O,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
1000005-B,Cálculo Integral,4,O,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2015556,Cálculo integral en una variable,4,O,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2015162,Calculo vectorial,4,O,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2025965,Complemento a teoría de la computación,1,B,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,0
2016722,Computación paralela y distribuida,3,C,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2025960,Computación visual,3,C,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2016492,Comunicaciones,3,T,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2016028,"Diseño, gestión y evaluación de proyectos",4,O,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
1000007-B,Ecuaciones Diferenciales,4,O,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2016698,Elementos de computadores,3,T,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2016699,Estructuras de datos,3,C,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
1000017-B,Fundamentos de electricidad y magnetismo,4,B,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
1000019-B,Fundamentos de mecánica,4,B,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2015702,Gerencia y gestión de proyectos,3,O,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2016701,Ingeniería de software I,3,C,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2016702,Ingeniería de software II,3,C,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2015703,Ingeniería económica,3,O,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2025986,Ingeniería económica y análisis de riesgo,3,O,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
1000044-B,Inglés I- Semestral,3,E,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
1000048-B,Inglés I- Virtual,3,E,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,0
1000045-B,Inglés II - Semestral,3,E,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
1000049-B,Inglés II - Virtual,3,E,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,0
2023925,Inglés II- Intensivo,3,E,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,0
1000046-B,Inglés III - Semestral,3,E,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
1000050-B,Inglés III- Virtual,3,E,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,0
2023926,Inglés III-Intensivo,3,E,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,0
2024731,Inglés intensivo I,3,E,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,0
1000052-B,Inglés Intensivo I y II,6,E,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2022291,Inglés intensivo II,3,E,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,0
2021183,Inglés Intensivo II y III,6,E,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,0
1000053-B,Inglés Intensivo III y IV,6,E,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2021184,Inglés Intensivo IV,3,E,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,0
2023927,Inglés IV- intensivo,3,E,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,0
1000047-B,Inglés IV- Semestral,3,E,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
1000051-B,Inglés IV- Virtual,3,E,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,0
2016748,Inteligencia Artificial,3,C,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2025972,Introducción a la criptografía y a la seguridad de la Información,3,T,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2025975,Introducción a la ingeniería de sistemas y computación,3,C,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2015174,Introducción a la teoría de la computación,4,B,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2026573,Introducción a las ciencias de la computación y a la programación,3,T,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2025995,Introducción a los sistemas inteligentes,3,C,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
1000002-B,Lecto-Escritura,4,E,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2025966,Lenguajes de programación,3,C,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
1000001-B,Matemáticas Básicas,4,E,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2025963,Matemáticas discretas I,4,O,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
2025964,Matemáticas discretas II,4,O,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,1
