sb_code,sb_name,sb_credits,sb_type,sb_program_code,sb_program_name,sb_faculty_code,sb_faculty_name,sb_is_active
2015698,Administración de empresas,3,O,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,0
1000003-B,Álgebra Lineal,4,B,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
1000004-B,Cálculo diferencial,4,B,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
1000006-B,Cálculo en varias variables,4,B,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
1000005-B,Cálculo Integral,4,B,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2016487,Campos electromagnéticos,4,C,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2016488,Circuitos de RF,3,T,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2016489,Circuitos Eléctricos I,3,C,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2016490,Circuitos Eléctricos II,4,C,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2022660,Comprensión de textos en idioma extranjero,12,E,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,0
2016492,Comunicaciones,3,C,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2024732,Comunicaciones Ópticas,3,T,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2016493,Control,4,C,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2028816,Diseño de sistemas electrónicos,3,C,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2016592,Economía general,3,O,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
1000007-B,Ecuaciones Diferenciales,4,B,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2016495,Electrónica análoga I,4,C,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2016496,Electrónica análoga II,4,C,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2016497,Electrónica de potencia,4,C,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2016498,Electrónica digital I,4,C,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2016499,Electrónica digital II,4,C,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2016741,Finanzas,3,O,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2016500,Física de Semiconductores,3,B,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
1000017-B,Fundamentos de electricidad y magnetismo,4,B,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
1000019-B,Fundamentos de mecánica,4,B,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
1000020-B,"Fundamentos de oscilaciones, ondas y óptica",4,B,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2015701,Gerencia de recursos humanos,3,O,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2015702,Gerencia y gestión de proyectos,3,O,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2015703,Ingeniería económica,3,B,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
1000044-B,Inglés I- Semestral,3,E,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
1000048-B,Inglés I- Virtual,3,E,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,0
1000045-B,Inglés II - Semestral,3,E,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
1000049-B,Inglés II - Virtual,3,E,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,0
2023925,Inglés II- Intensivo,3,E,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,0
1000046-B,Inglés III - Semestral,3,E,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
1000050-B,Inglés III- Virtual,3,E,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,0
2023926,Inglés III-Intensivo,3,E,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,0
2024731,Inglés intensivo I,3,E,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,0
1000052-B,Inglés Intensivo I y II,6,E,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
1000053-B,Inglés Intensivo III y IV,6,E,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2023927,Inglés IV- intensivo,3,E,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,0
1000047-B,Inglés IV- Semestral,3,E,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
1000051-B,Inglés IV- Virtual,3,E,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,0
2016501,Instrumentación y medidas,3,C,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2016502,Introducción a ingeniería electrónica,5,C,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
1000040-B,Introducción a la ciencia de materiales,3,B,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
1000002-B,Lecto-Escritura,4,E,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2016503,Líneas y antenas,3,C,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
1000001-B,Matemáticas Básicas,4,E,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
1000015-B,Probabilidad fundamental,3,O,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,0
1000013-B,Probabilidad y estadística fundamental,3,O,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2015734,Programación de computadores,3,B,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2016375,Programación orientada a objetos,3,B,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2019125,Redes de telecomunicaciones,3,T,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2016609,Seguridad industrial,3,O,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2016506,Señales y sistemas I,3,C,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
2016507,Señales y Sistemas II,3,C,2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA,1
