sb_code,sb_name,sb_credits,sb_type,sb_program_code,sb_program_name,sb_faculty_code,sb_faculty_name,sb_is_active
2016850,Aislamiento eléctrico,3,T,2544,INGENIERÍA ELÉCTRICA,2055,FACULTAD DE INGENIERÍA,1
1000003-B,Álgebra Lineal,4,B,2544,INGENIERÍA ELÉCTRICA,2055,FACULTAD DE INGENIERÍA,1
2016851,Análisis de Sistemas de Potencia,3,C,2544,INGENIERÍA ELÉCTRICA,2055,FACULTAD DE INGENIERÍA,1
1000004-B,Cálculo diferencial,4,B,2544,INGENIERÍA ELÉCTRICA,2055,FACULTAD DE INGENIERÍA,1
1000006-B,Cálculo en varias variables,4,B,2544,INGENIERÍA ELÉCTRICA,2055,FACULTAD DE INGENIERÍA,1
1000005-B,Cálculo Integral,4,B,2544,INGENIERÍA ELÉCTRICA,2055,FACULTAD DE INGENIERÍA,1
2016487,Campos electromagnéticos,4,C,2544,INGENIERÍA ELÉCTRICA,2055,FACULTAD DE INGENIERÍA,1
2016489,Circuitos Eléctricos I,3,C,2544,INGENIERÍA ELÉCTRICA,2055,FACULTAD DE INGENIERÍA,1
2016490,Circuitos Eléctricos II,4,C,2544,INGENIERÍA ELÉCTRICA,2055,FACULTAD DE INGENIERÍA,1
2022660,Comprensión de textos en idioma extranjero,12,E,2544,INGENIERÍA ELÉCTRICA,2055,FACULTAD DE INGENIERÍA,0
2016493,Control,4,C,2544,INGENIERÍA ELÉCTRICA,2055,FACULTAD DE INGENIERÍA,1
2016592,Economía general,3,O,2544,INGENIERÍA ELÉCTRICA,2055,FACULTAD DE INGENIERÍA,1
1000007-B,Ecuaciones Diferenciales,4,B,2544,INGENIERÍA ELÉCTRICA,2055,FACULTAD DE INGENIERÍA,1
2016495,Electrónica análoga I,4,C,2544,INGENIERÍA ELÉCTRICA,2055,FACULTAD DE INGENIERÍA,1
2016498,Electrónica digital I,4,C,2544,INGENIERÍA ELÉCTRICA,2055,FACULTAD DE INGENIERÍA,1
2016854,Estabilidad de sistemas de potencia,3,T,2544,INGENIERÍA ELÉCTRICA,2055,FACULTAD DE INGENIERÍA,0
2016741,Finanzas,3,O,2544,INGENIERÍA ELÉCTRICA,2055,FACULTAD DE INGENIERÍA,1
2016500,Física de Semiconductores,3,O,2544,INGENIERÍA ELÉCTRICA,2055,FACULTAD DE INGENIERÍA,1
1000017-B,Fundamentos de electricidad y magnetismo,4,B,2544,INGENIERÍA ELÉCTRICA,2055,FACULTAD DE INGENIERÍA,1
1000018-B,Fundamentos de física moderna,3,O,2544,INGENIERÍA ELÉCTRICA,2055,FACULTAD DE INGENIERÍA,1
1000019-B,Fundamentos de mecánica,4,B,2544,INGENIERÍA ELÉCTRICA,2055,FACULTAD DE INGENIERÍA,1
1000021-B,Fundamentos de Mecánica de Fluidos,3,B,2544,INGENIERÍA ELÉCTRICA,2055,FACULTAD DE INGENIERÍA,1
