sb_code,sb_name,sb_credits,sb_type,sb_program_code,sb_program_name,sb_faculty_code,sb_faculty_name,sb_is_active
2016111,Administración de personal I,4,T,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,0
1000003-B,Álgebra Lineal,4,O,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
1000009-B,Biología general,3,B,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
1000010-B,Biología molecular y celular,3,B,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
1000004-B,Cálculo diferencial,4,O,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2016377,Cálculo diferencial en una variable,4,O,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
1000006-B,Cálculo en varias variables,4,O,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
1000005-B,Cálculo Integral,4,O,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2025984,Complemento probabilidad fundamental,1,B,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,0
2016204,Contabilidad de Gestión Avanzada,4,C,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2016317,Control estadístico de calidad,3,T,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2016589,Control y gestión de calidad,3,T,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2026551,Creación y gestión de empresas,3,T,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2016028,"Diseño, gestión y evaluación de proyectos",4,T,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2016592,Economía general,3,T,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
1000007-B,Ecuaciones Diferenciales,4,O,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2016366,Estadística descriptiva y exploratoria,4,B,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2016741,Finanzas,3,T,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2016037,Finanzas avanzadas,4,T,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2016007,Fundamentos de administración,4,T,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
1000011-B,Fundamentos de ecología,3,B,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
1000017-B,Fundamentos de electricidad y magnetismo,4,B,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
1000019-B,Fundamentos de mecánica,4,B,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2015701,Gerencia de recursos humanos,3,T,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2015702,Gerencia y gestión de proyectos,3,T,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2016600,Gestión tecnológica,3,T,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2016379,Inferencia estadística,4,B,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2027878,Inferencia estadística fundamental,4,B,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2025986,Ingeniería económica y análisis de riesgo,3,C,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
1000044-B,Inglés I- Semestral,3,E,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
1000045-B,Inglés II - Semestral,3,E,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
1000049-B,Inglés II - Virtual,3,E,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,0
