sb_code,sb_name,sb_credits,sb_type,sb_program_code,sb_program_name,sb_faculty_code,sb_faculty_name,sb_is_active
1000003-B,Álgebra Lineal,4,B,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
2015215,Análisis de sistemas dinámicos,3,C,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
2015942,Aplicaciones de elementos finitos,3,B,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
1000004-B,Cálculo diferencial,4,B,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
1000006-B,Cálculo en varias variables,4,B,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
1000005-B,Cálculo Integral,4,B,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
2017256,Ciencia e ingeniería de materiales,3,C,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
2015711,Dibujo básico,3,B,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
2017257,Dibujo de Máquinas,4,C,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
2017258,Diseño de elementos de máquinas I,3,C,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
2017259,Diseño de elementos de máquinas II,3,C,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
1000007-B,Ecuaciones Diferenciales,4,B,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
2017260,Electrónica básica,3,C,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
2017261,Fundamentos de control,3,C,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
1000017-B,Fundamentos de electricidad y magnetismo,4,O,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
1000018-B,Fundamentos de física moderna,3,O,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
1000019-B,Fundamentos de mecánica,4,B,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
1000021-B,Fundamentos de Mecánica de Fluidos,3,O,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
1000020-B,"Fundamentos de oscilaciones, ondas y óptica",4,O,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
2017262,Fundamentos de transferencia de calor,3,C,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
2017263,Fundamentos de turbomaquinaria,3,T,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
2015702,Gerencia y gestión de proyectos,3,B,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
2017264,Ingeniería de Manufactura,3,C,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
2015703,Ingeniería económica,3,B,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
2017265,Ingeniería y Desarrollo Sostenible,3,C,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
1000044-B,Inglés I- Semestral,3,E,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
1000045-B,Inglés II - Semestral,3,E,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
1000049-B,Inglés II - Virtual,3,E,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,0
1000046-B,Inglés III - Semestral,3,E,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
1000050-B,Inglés III- Virtual,3,E,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,0
1000052-B,Inglés Intensivo I y II,6,E,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
1000053-B,Inglés Intensivo III y IV,6,E,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
1000047-B,Inglés IV- Semestral,3,E,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,1
1000051-B,Inglés IV- Virtual,3,E,2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA,0
