program_code,program_name,faculty_code,faculty_name
2506,ARQUITECTURA,2049,FACULTAD DE ARTES
2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES
2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES
2509,DISEÑO GRÁFICO,2049,FACULTAD DE ARTES
2510,DISEÑO INDUSTRIAL,2049,FACULTAD DE ARTES
2511,MÚSICA,2049,FACULTAD DE ARTES
2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES
2541,INGENIERÍA AGRÍCOLA,2055,FACULTAD DE INGENIERÍA
2542,INGENIERÍA CIVIL,2055,FACULTAD DE INGENIERÍA
2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA
2544,INGENIERÍA ELÉCTRICA,2055,FACULTAD DE INGENIERÍA
2545,INGENIERÍA ELECTRÓNICA,2055,FACULTAD DE INGENIERÍA
2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA
2547,INGENIERÍA MECÁNICA,2055,FACULTAD DE INGENIERÍA
2548,INGENIERÍA MECATRÓNICA,2055,FACULTAD DE INGENIERÍA
2513,BIOLOGÍA,2050,FACULTAD DE CIENCIAS
2933,CIENCIAS DE LA COMPUTACIÓN,2050,FACULTAD DE CIENCIAS
2514,ESTADÍSTICA,2050,FACULTAD DE CIENCIAS
2515,FARMACIA,2050,FACULTAD DE CIENCIAS
2516,FÍSICA,2050,FACULTAD DE CIENCIAS
2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS
2518,MATEMÁTICAS,2050,FACULTAD DE CIENCIAS
2519,QUÍMICA,2050,FACULTAD DE CIENCIAS
