sb_code,sb_name,sb_credits,sb_type,sb_program_code,sb_program_name,sb_faculty_code,sb_faculty_name,sb_created_at,sb_is_active
37,Teoría de series de tiempo univariadas,4,T,3,Estadistica,2,Ciencias naturales,2019-02-11T19:09:17Z,1
38,Teoría de respuesta al ítem,3,T,3,Estadistica,2,Ciencias naturales,2021-10-26T01:29:51Z,1
39,Teoria de muestreo,4,T,3,Estadistica,2,Ciencias naturales,2018-07-04T23:07:30Z,1
41,Teoria de estadistica no parametrica,4,T,3,Estadistica,2,Ciencias naturales,2018-07-04T18:48:58Z,1
42,Teoria de diseño de experimentos,4,T,3,Estadistica,2,Ciencias naturales,2018-05-26T22:14:58Z,1
87,Sistemas numéricos,4,B,3,Estadistica,2,Ciencias naturales,2019-05-14T12:00:45Z,1
99,Series de tiempo univariadas,4,T,3,Estadistica,2,Ciencias naturales,2021-04-07T21:11:20Z,1
100,Series de tiempo multivariadas,4,T,3,Estadistica,2,Ciencias naturales,2018-05-14T00:36:33Z,1
112,Seminario de estadística,2,C,3,Estadistica,2,Ciencias naturales,2018-08-02T22:29:00Z,1
149,Programación y métodos numéricos,4,O,3,Estadistica,2,Ciencias naturales,2019-12-19T22:55:35Z,1
150,Programación orientada a objetos,3,O,3,Estadistica,2,Ciencias naturales,2019-08-06T11:44:16Z,1
158,Programación en lenguajes estadísticos,4,O,3,Estadistica,2,Ciencias naturales,2018-05-13T10:16:21Z,1
159,Programación de computadores,3,O,3,Estadistica,2,Ciencias naturales,2021-07-05T06:27:10Z,1
174,Procesos estocásticos,4,T,3,Estadistica,2,Ciencias naturales,2019-03-12T08:07:20Z,1
180,Probabilidad y estadística fundamental,3,O,3,Estadistica,2,Ciencias naturales,2019-01-22T21:42:58Z,1
192,Probabilidad,4,B,3,Estadistica,2,Ciencias naturales,2020-10-18T02:03:35Z,1
196,Principios de química,3,O,3,Estadistica,2,Ciencias naturales,2020-05-22T05:24:08Z,1
265,Muestreo estadístico,4,T,3,Estadistica,2,Ciencias naturales,2021-02-18T20:32:46Z,1
266,Muestreo en poblaciones biológicas,3,T,3,Estadistica,2,Ciencias naturales,2019-05-30T15:55:12Z,1
275,Modelos matemáticos,4,O,3,Estadistica,2,Ciencias naturales,2021-08-19T01:23:53Z,1
276,Modelos lineales generalizados,4,T,3,Estadistica,2,Ciencias naturales,2019-07-06T03:08:44Z,1
279,Modelos de sobrevivencia univariados,3,T,3,Estadistica,2,Ciencias naturales,2021-06-27T20:05:30Z,1
280,Modelos de sobrevivencia multivariados,3,T,3,Estadistica,2,Ciencias naturales,2020-12-19T05:30:37Z,1
283,Modelamiento y simulación,3,T,3,Estadistica,2,Ciencias naturales,2018-03-15T03:31:27Z,1
291,Minería de datos,3,T,3,Estadistica,2,Ciencias naturales,2021-08-19T19:09:44Z,1
301,Métodos numéricos,3,O,3,Estadistica,2,Ciencias naturales,2021-04-29T03:48:23Z,1
309,Métodos no paramétricos,4,T,3,Estadistica,2,Ciencias naturales,2021-06-10T19:35:55Z,1
310,Métodos de clasificación,4,T,3,Estadistica,2,Ciencias naturales,2021-09-23T17:40:09Z,1
329,Mecanica newtoniana,4,O,3,Estadistica,2,Ciencias naturales,2021-12-17T14:59:36Z,1
342,Matemáticas Discretas,4,O,3,Estadistica,2,Ciencias naturales,2018-05-02T00:25:07Z,1
368,Investigación de operaciones I,3,T,3,Estadistica,2,Ciencias naturales,2021-09-06T05:31:47Z,1
373,Introducción al análisis real,4,O,3,Estadistica,2,Ciencias naturales,2021-10-28T15:34:34Z,1
408,Inteligencia Artificial,3,T,3,Estadistica,2,Ciencias naturales,2020-01-23T10:38:13Z,1
437,Ingeniería económica,3,T,3,Estadistica,2,Ciencias naturales,2021-02-23T12:45:57Z,1
456,Inferencia estadística,4,B,3,Estadistica,2,Ciencias naturales,2020-08-31T04:24:33Z,1
458,Indicadores sociales,3,T,3,Estadistica,2,Ciencias naturales,2020-06-12T13:52:10Z,1
470,Grupos y anillos,4,O,3,Estadistica,2,Ciencias naturales,2020-03-07T18:01:49Z,1
490,Geometria vectorial y analítica,4,O,3,Estadistica,2,Ciencias naturales,2021-05-12T21:40:28Z,1
491,Geometría Elemental,4,O,3,Estadistica,2,Ciencias naturales,2020-08-25T02:06:39Z,1
524,Fundamentos de matemáticas,4,B,3,Estadistica,2,Ciencias naturales,2020-08-28T00:21:59Z,1
531,Fundamentos de física moderna,3,O,3,Estadistica,2,Ciencias naturales,2019-03-03T17:39:01Z,1
543,Fundamentos de ecología,3,O,3,Estadistica,2,Ciencias naturales,2018-08-15T20:45:34Z,1
557,Formulación y gerencia de proyectos,4,T,3,Estadistica,2,Ciencias naturales,2019-04-03T23:43:59Z,1
572,Finanzas y modelos de inversión,3,T,3,Estadistica,2,Ciencias naturales,2019-05-11T14:34:59Z,1
574,Finanzas,3,T,3,Estadistica,2,Ciencias naturales,2019-10-23T15:52:12Z,1
588,Estrategia de mercados,3,T,3,Estadistica,2,Ciencias naturales,2020-12-30T00:01:50Z,1
591,Estadística y sociedad,3,T,3,Estadistica,2,Ciencias naturales,2018-12-02T22:37:08Z,1
592,Estadística social fundamental,3,O,3,Estadistica,2,Ciencias naturales,2021-10-01T23:11:28Z,1
594,Estadística espacial,4,T,3,Estadistica,2,Ciencias naturales,2021-09-23T09:19:44Z,1
595,Estadística descriptiva y exploratoria,4,C,3,Estadistica,2,Ciencias naturales,2018-09-19T03:02:30Z,1
597,Estadística descriptiva multivariada,4,T,3,Estadistica,2,Ciencias naturales,2020-08-14T01:09:20Z,1
598,Estadística bayesiana,4,T,3,Estadistica,2,Ciencias naturales,2018-03-16T08:34:02Z,1
600,Español funcional,3,O,3,Estadistica,2,Ciencias naturales,2019-01-16T14:49:31Z,1
602,Epidemiología,3,T,3,Estadistica,2,Ciencias naturales,2018-04-17T18:15:02Z,1
636,"Diseño, gestión y evaluación de proyectos",4,T,3,Estadistica,2,Ciencias naturales,2018-02-26T19:37:08Z,1
643,Diseño y desarrollo de encuestas,4,T,3,Estadistica,2,Ciencias naturales,2021-04-30T05:59:30Z,1
650,Diseño de experimentos,4,T,3,Estadistica,2,Ciencias naturales,2018-05-07T23:01:20Z,1
662,Demografía,3,T,3,Estadistica,2,Ciencias naturales,2018-02-10T21:53:04Z,1
663,Demografia,3,T,3,Estadistica,2,Ciencias naturales,2018-12-18T21:00:07Z,1
667,Control estadístico de calidad,3,T,3,Estadistica,2,Ciencias naturales,2020-02-20T01:41:34Z,1
674,Consultoría estadística,2,C,3,Estadistica,2,Ciencias naturales,2021-01-30T08:14:14Z,1
688,Comunicación oral y escrita,3,O,3,Estadistica,2,Ciencias naturales,2021-10-17T04:45:32Z,1
696,Computación estadística,4,T,3,Estadistica,2,Ciencias naturales,2020-01-11T11:32:13Z,1
697,Comprensión de textos en idioma extranjero,12,E,3,Estadistica,2,Ciencias naturales,2019-10-17T22:57:10Z,1
